common,latin,year,source,pub.year,pub.title
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1989,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2002,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2005,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Oceanography,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Molecular Ecology,1995,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Proceedings of the Royal Society B: Biological Sciences,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2004,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Ecology Progress Series,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Transactions of the American Fisheries Society,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of Fish Biology,2004,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1996,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Environmental Biology of Fishes,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2005,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2006,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Research,2009,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of Ichthyology,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of the Fisheries Research Board of Canada,1960,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Research,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Restoration Ecology,1998,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of the Marine Biological Association of the UK,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of Animal Ecology,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Genetics,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1996,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1999,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Ecology Progress Series,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Research,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Proceedings of the Royal Society B: Biological Sciences,2009,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1999,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of the Fisheries Research Board of Canada,1940,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Ecology Progress Series,1995,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2002,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2003,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Ecological Applications,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of Fish Biology,1989,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of Northwest Atlantic Fishery Science,1984,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Ecology Progress Series,2003,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Ecological Applications,2006,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Proceedings of the Royal Society B: Biological Sciences,2007,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2002,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1996,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Oceanography,1993,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Molecular Ecology,2006,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of the Fisheries Research Board of Canada,1955,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1996,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Molecular Ecology,1998,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2004,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Research,1999,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of Fish Biology,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Evolution,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fish and Fisheries,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Genetics,1995,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2007,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of the Fisheries Research Board of Canada,1967,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Environmental Reviews,1994,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1995,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Fisheries Review,2019,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Ecology Progress Series,1996,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2006,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Transactions of the American Fisheries Society,2006,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1997,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1994,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Evolutionary Applications,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Research,2005,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1995,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,ICES Journal of Marine Science,2002,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Oceanography,1999,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Ecological Applications,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2004,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Biology,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Marine Ecology Progress Series,2008,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,1993,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2000,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Canadian Journal of Fisheries and Aquatic Sciences,2005,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Journal of Experimental Marine Biology and Ecology,2001,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
Atlantic Cod,Godus morhua,2010,Fisheries Research,2005,"COSEWIC assessment and status report on the Atlantic Cod, Godus morhua, Laurentian North population, Laurentian South population, Newfoundland and Labrador population, Southern population, Arctic Lakes population, Arctic marine population in Canada .: CW69-14/311-2010E-PDF Publications - Canada.ca"
